Data Zone,Council Area,All ages,AGE0,AGE1,AGE2,AGE3,AGE4,AGE5,AGE6,AGE7,AGE8,AGE9,AGE10,AGE11,AGE12,AGE13,AGE14,AGE15,AGE16,AGE17,AGE18,AGE19,AGE20,AGE21,AGE22,AGE23,AGE24,AGE25,AGE26,AGE27,AGE28,AGE29,AGE30,AGE31,AGE32,AGE33,AGE34,AGE35,AGE36,AGE37,AGE38,AGE39,AGE40,AGE41,AGE42,AGE43,AGE44,AGE45,AGE46,AGE47,AGE48,AGE49,AGE50,AGE51,AGE52,AGE53,AGE54,AGE55,AGE56,AGE57,AGE58,AGE59,AGE60,AGE61,AGE62,AGE63,AGE64,AGE65,AGE66,AGE67,AGE68,AGE69,AGE70,AGE71,AGE72,AGE73,AGE74,AGE75,AGE76,AGE77,AGE78,AGE79,AGE80,AGE81,AGE82,AGE83,AGE84,AGE85,AGE86,AGE87,AGE88,AGE89,AGE90
Corstorphine - 01,City of Edinburgh,981,9,9,10,12,5,6,15,12,10,10,12,8,6,8,2,8,15,9,5,6,7,7,2,9,17,14,7,11,12,8,2,11,13,13,18,15,14,12,4,11,9,9,21,9,10,25,21,16,14,11,14,17,28,19,21,10,16,8,18,8,15,12,12,18,17,15,12,14,13,13,19,9,8,12,8,10,6,8,9,7,7,5,7,6,3,6,2,5,4,0,11
Corstorphine - 02,City of Edinburgh,731,4,12,6,9,2,8,16,6,10,9,11,8,9,6,7,7,6,3,9,0,2,4,12,12,4,6,11,5,7,11,3,5,6,10,6,6,6,13,8,6,12,8,16,13,6,5,6,12,13,15,9,9,14,17,11,9,10,18,14,17,18,14,12,17,9,11,5,5,8,10,9,3,5,10,8,6,4,4,4,6,5,5,8,3,5,2,1,2,4,1,2
Corstorphine - 03,City of Edinburgh,781,2,10,8,8,5,12,7,8,6,16,8,9,6,12,6,8,12,13,6,7,2,4,9,3,10,7,7,11,9,8,5,4,10,5,5,6,2,12,7,7,9,7,14,13,5,14,15,8,5,13,12,20,17,18,9,14,18,16,7,11,7,10,10,23,5,9,10,10,9,4,4,2,12,3,7,6,2,9,6,3,7,4,13,7,10,5,4,5,5,2,21
Corstorphine - 04,City of Edinburgh,944,4,4,8,7,13,11,6,7,2,6,5,7,7,7,5,8,5,6,8,3,2,5,2,3,12,13,18,9,25,9,17,11,18,10,8,13,16,17,8,16,20,13,8,14,17,10,11,10,10,12,17,12,15,2,6,9,12,11,20,12,18,14,9,17,19,7,21,15,17,11,18,6,4,6,9,6,9,7,8,9,8,5,4,10,11,10,7,7,6,4,40
Corstorphine - 05,City of Edinburgh,832,3,10,5,13,9,11,10,10,14,8,14,16,10,14,6,1,10,3,7,6,3,7,9,4,9,15,6,16,8,16,21,12,12,6,14,8,14,12,14,13,16,17,12,16,12,5,8,8,20,13,14,3,5,6,10,13,11,9,8,7,9,7,5,9,13,8,6,7,11,6,7,9,5,10,4,11,6,3,8,7,5,8,5,10,2,6,9,3,6,4,11
Corstorphine - 06,City of Edinburgh,766,6,6,2,9,13,6,3,5,7,6,3,9,3,0,8,9,5,0,1,2,7,5,10,10,10,17,21,12,13,8,15,8,13,13,7,19,13,13,11,4,9,13,6,6,15,11,5,3,10,5,12,6,4,3,9,7,12,7,2,5,7,12,5,6,7,5,7,11,14,10,13,10,4,7,13,6,9,12,13,10,20,17,10,9,4,12,13,6,7,1,4
Corstorphine - 07,City of Edinburgh,563,8,7,11,8,10,5,7,7,8,4,6,7,7,4,9,8,2,5,5,4,1,2,1,6,7,8,8,6,1,4,6,3,2,2,4,6,18,8,10,5,10,8,10,15,4,10,6,6,5,7,6,12,10,7,10,15,9,5,7,6,6,9,6,5,4,7,8,1,2,6,12,3,1,6,8,1,9,13,5,11,5,2,4,2,1,4,2,3,2,1,6
Carrick Knowe - 01,City of Edinburgh,620,5,4,6,4,2,2,1,2,4,4,2,3,7,4,5,10,4,1,4,5,4,4,4,6,9,5,5,5,7,3,7,7,10,6,4,2,6,9,4,4,4,5,6,6,11,5,6,9,6,5,14,14,10,10,15,7,9,11,8,10,13,20,6,14,13,11,17,7,11,11,18,4,6,6,12,11,11,12,4,5,5,3,6,7,2,5,4,4,2,4,5
Carrick Knowe - 02,City of Edinburgh,640,5,7,7,9,5,7,6,8,3,9,6,8,3,9,9,1,5,8,1,5,0,7,5,4,11,12,24,14,12,10,15,4,12,15,8,11,14,10,14,8,9,6,10,6,7,2,10,5,10,11,15,10,8,11,14,11,12,5,9,7,3,4,7,6,3,13,8,4,6,8,13,3,4,5,2,6,2,4,7,0,5,1,2,3,0,2,2,1,1,2,4
Carrick Knowe - 03,City of Edinburgh,718,13,10,6,11,12,3,15,9,13,7,5,6,4,4,11,7,7,8,5,6,8,6,6,8,13,24,18,13,21,34,15,14,10,16,7,16,14,12,17,18,10,7,6,7,5,9,6,9,1,5,14,8,17,10,10,16,12,5,10,16,5,4,12,5,2,8,0,2,2,1,1,4,1,3,3,3,3,2,2,0,4,1,3,2,3,1,1,0,1,0,4
Carrick Knowe - 04,City of Edinburgh,830,12,17,12,13,9,1,11,6,7,13,11,6,10,14,3,12,11,14,12,10,4,13,5,6,1,14,19,24,9,22,29,19,27,23,9,17,7,14,9,17,7,11,21,7,7,12,14,10,13,10,7,7,9,10,11,7,16,16,6,8,7,7,10,6,11,1,9,5,5,11,7,6,2,5,0,2,5,6,2,1,4,1,3,1,4,1,0,1,0,0,6
Corstorphine South - 01,City of Edinburgh,749,6,3,7,12,8,7,4,11,4,9,5,7,3,11,10,7,9,8,13,3,4,2,2,6,6,10,11,6,5,2,4,3,13,7,11,5,11,20,9,10,6,12,7,7,8,3,7,10,11,14,15,10,7,12,12,4,13,6,14,15,14,7,6,20,8,12,7,13,5,13,12,7,14,13,7,3,8,6,8,5,4,13,16,7,6,5,7,4,2,4,6
Corstorphine South - 02,City of Edinburgh,814,9,13,12,15,13,7,9,11,12,5,4,14,8,6,4,10,13,16,6,1,6,9,16,9,3,13,12,23,15,15,21,28,10,21,11,29,14,13,14,12,11,10,2,6,5,4,9,8,11,7,13,8,16,12,11,12,13,7,18,6,9,10,4,7,6,6,7,4,13,16,7,8,3,4,5,4,5,3,4,3,2,0,0,1,2,3,0,2,1,2,2
Corstorphine South - 03,City of Edinburgh,643,7,7,12,5,15,2,13,7,9,3,6,8,3,5,1,6,4,5,6,4,4,10,5,13,11,13,20,21,32,12,28,14,16,15,18,6,11,8,3,12,8,10,7,1,7,9,7,13,12,10,3,9,7,9,13,15,9,10,8,8,3,3,9,6,8,4,3,3,4,2,1,6,1,5,3,0,1,0,0,0,0,1,2,0,2,0,1,0,0,0,0
Corstorphine South - 04,City of Edinburgh,501,9,5,6,5,17,5,5,5,9,7,5,7,4,4,5,6,6,6,4,7,5,2,6,9,11,10,7,6,14,10,18,5,9,7,15,11,7,5,4,8,4,10,7,4,8,7,3,2,14,3,11,8,7,6,5,7,9,5,5,6,7,4,5,2,3,4,5,4,6,2,1,3,4,3,3,3,1,2,2,1,0,2,1,0,2,0,1,1,0,0,2
Corstorphine South - 05,City of Edinburgh,926,5,15,20,8,15,12,14,7,12,9,4,7,7,3,8,6,8,10,3,4,7,6,7,14,11,26,31,11,18,29,32,19,26,15,24,20,15,10,15,15,23,15,6,7,3,7,14,15,14,11,13,12,13,5,10,15,13,15,18,15,3,6,12,10,4,7,8,6,3,9,5,7,7,7,5,2,2,4,2,1,6,9,2,2,2,1,5,6,2,3,6
Corstorphine South - 06,City of Edinburgh,790,7,8,6,7,8,6,14,16,8,7,8,4,1,11,9,9,7,4,6,5,9,5,8,6,7,7,9,13,11,3,7,5,6,8,11,19,9,14,6,9,4,14,6,10,6,13,9,11,8,15,8,7,13,13,7,9,12,15,18,15,10,15,15,10,8,12,11,18,13,13,9,2,11,4,8,7,4,5,9,4,5,2,7,3,12,8,8,6,2,3,10
South Gyle - 01,City of Edinburgh,783,5,10,6,14,11,6,8,9,3,6,4,11,5,6,4,4,3,9,7,7,1,7,7,8,12,12,17,4,13,16,8,6,10,7,6,6,5,8,10,8,1,6,4,4,6,13,9,8,4,9,12,11,10,13,13,17,16,22,21,14,12,13,11,19,8,12,6,11,8,10,16,4,4,8,4,2,3,6,10,13,17,12,12,8,7,4,5,7,2,3,4
South Gyle - 02,City of Edinburgh,1.09,11,11,10,10,13,8,9,21,10,7,8,7,5,10,8,5,5,5,4,4,2,6,9,10,13,14,18,18,20,8,27,21,35,26,23,23,13,15,20,17,6,10,19,9,13,4,11,15,15,10,14,18,16,10,17,13,11,17,8,10,10,8,3,12,8,14,5,10,13,3,21,14,6,12,11,15,3,6,16,10,13,9,13,8,7,11,13,8,8,10,35
South Gyle - 03,City of Edinburgh,610,9,9,4,2,5,8,1,2,11,6,2,6,2,4,6,4,4,7,2,6,7,3,8,12,12,10,10,12,15,10,18,10,11,12,16,22,15,8,7,10,17,5,10,7,6,3,10,12,12,10,11,7,10,11,17,11,10,18,8,8,10,4,1,5,8,2,5,7,3,2,5,4,3,4,1,3,2,1,2,2,0,0,2,0,0,2,0,0,1,0,0
South Gyle - 04,City of Edinburgh,904,12,18,20,7,23,18,3,7,13,13,11,9,5,4,7,1,1,4,3,12,2,5,6,12,18,15,19,24,43,26,6,19,24,30,28,30,12,16,26,13,7,16,3,7,5,8,6,14,15,12,9,12,8,14,13,6,17,13,18,7,7,13,7,13,7,7,8,15,4,7,4,4,4,1,4,4,1,3,1,6,2,2,2,1,0,0,0,0,0,1,1
South Gyle - 05,City of Edinburgh,927,14,10,9,16,8,8,11,12,19,8,13,6,8,11,2,10,5,11,7,6,5,7,11,15,11,20,12,10,18,14,15,15,18,12,30,14,10,18,20,19,21,19,17,6,7,11,13,11,15,8,21,21,15,13,24,24,20,14,10,16,15,8,4,8,9,10,6,6,3,7,11,4,6,4,5,1,2,5,1,1,1,3,1,0,5,3,1,0,0,1,2
South Gyle - 06,City of Edinburgh,578,9,3,7,7,5,2,8,2,5,5,3,4,6,0,5,4,6,9,3,2,6,2,2,6,3,9,15,15,13,12,10,10,9,10,5,13,7,15,3,10,3,7,8,5,8,4,7,13,3,6,0,6,7,9,8,10,8,15,8,8,9,7,12,8,7,7,6,7,7,5,9,6,5,3,5,5,2,5,7,1,7,5,7,2,5,1,5,1,1,2,6
"Ratho, Ingliston and Gogar - 01",City of Edinburgh,1.037,15,8,6,12,12,7,3,8,9,1,17,13,16,14,14,13,9,14,7,5,6,12,7,7,19,14,22,11,22,9,17,9,12,13,5,13,15,16,13,11,14,20,11,10,13,17,17,11,16,19,19,20,26,10,25,19,16,13,15,15,5,19,17,14,12,9,8,9,4,5,11,8,18,11,10,6,10,11,5,9,5,5,7,2,8,1,2,5,4,2,13
"Ratho, Ingliston and Gogar - 02",City of Edinburgh,760,4,7,9,10,8,6,14,14,13,12,13,14,9,8,7,6,8,4,0,10,4,8,8,10,8,13,12,8,12,7,3,8,4,6,10,13,8,14,14,6,9,6,13,2,7,10,9,14,13,10,19,12,15,9,10,12,9,11,12,8,7,7,15,5,10,8,9,6,9,13,8,10,6,4,9,6,5,6,6,2,10,9,5,5,5,2,2,5,0,1,3
"Ratho, Ingliston and Gogar - 03",City of Edinburgh,813,7,14,11,3,7,15,13,14,13,6,8,6,5,4,8,11,10,6,5,4,2,10,5,14,6,9,21,9,7,6,9,9,8,10,8,11,14,5,11,9,8,11,9,12,10,17,17,9,19,12,11,19,13,19,7,4,12,25,10,27,14,12,14,7,11,8,5,7,7,5,21,14,10,6,4,3,5,4,3,5,1,8,1,4,2,3,2,1,1,0,1
"Ratho, Ingliston and Gogar - 04",City of Edinburgh,883,17,12,18,16,17,14,20,16,11,13,7,5,12,7,7,1,7,6,7,5,6,3,9,4,8,7,4,12,6,15,11,12,15,12,15,12,12,13,14,13,20,16,16,9,17,17,12,11,13,13,16,17,6,17,12,14,16,14,9,7,9,10,14,9,12,9,6,11,9,5,10,9,6,8,5,7,5,6,4,4,4,3,4,4,4,0,2,5,0,1,5
"Dalmeny, Kirkliston and Newbridge - 01",City of Edinburgh,1.106,15,12,16,22,14,23,13,14,21,16,17,6,17,10,6,15,8,10,8,1,14,12,9,10,15,9,20,15,11,10,14,11,21,10,16,27,9,12,14,12,16,14,23,15,16,22,18,16,19,18,24,18,19,18,13,17,13,17,22,15,21,15,19,12,9,11,12,10,6,8,14,6,14,4,7,3,1,3,8,5,3,4,2,5,3,1,6,1,2,2,1
"Dalmeny, Kirkliston and Newbridge - 02",City of Edinburgh,796,11,16,18,18,15,20,15,11,12,18,18,9,17,4,6,7,9,9,12,11,6,13,8,9,10,7,20,17,21,10,11,12,24,24,20,22,14,19,10,7,3,7,12,8,16,11,5,12,10,4,4,7,12,6,6,12,5,7,12,9,6,6,5,6,4,4,5,4,5,5,9,2,3,2,2,3,5,2,3,1,1,1,1,0,1,0,1,0,0,0,1
"Dalmeny, Kirkliston and Newbridge - 03",City of Edinburgh,836,9,8,12,12,8,13,8,7,12,8,14,10,3,5,7,7,4,9,9,7,10,7,9,13,10,4,12,7,4,13,11,10,16,4,10,8,14,8,10,7,6,18,6,2,7,11,10,15,13,17,18,12,7,12,14,6,16,6,4,13,8,11,12,12,9,9,15,10,17,10,12,10,11,8,11,7,3,17,9,8,5,11,7,5,5,6,3,4,2,2,5
"Dalmeny, Kirkliston and Newbridge - 04",City of Edinburgh,1.55,18,25,27,37,25,19,36,25,32,21,15,16,13,12,8,12,11,16,8,14,8,11,9,9,15,20,12,25,19,11,14,27,12,20,28,21,29,30,40,31,28,20,20,29,29,23,30,30,14,19,21,15,13,21,15,22,24,22,27,16,15,21,9,12,18,9,17,17,15,24,24,18,15,12,12,7,11,8,10,3,12,9,5,8,4,2,7,3,4,0,0
"Dalmeny, Kirkliston and Newbridge - 05",City of Edinburgh,935,15,8,7,13,7,14,9,18,6,18,14,15,16,17,14,15,9,20,12,6,12,11,7,7,7,7,5,9,4,6,11,11,6,15,11,11,8,9,6,8,7,10,17,23,5,9,16,19,13,14,25,19,16,15,18,13,18,12,3,16,10,8,11,10,6,13,13,9,11,11,10,9,7,12,7,13,5,6,7,4,9,1,9,2,1,6,2,4,0,1,6
"Dalmeny, Kirkliston and Newbridge - 06",City of Edinburgh,2.36,68,66,82,74,48,47,51,33,29,36,26,31,19,21,21,8,16,13,14,16,2,12,20,14,38,35,28,24,31,46,35,38,53,65,64,63,56,75,55,39,40,48,52,42,35,46,27,27,35,13,24,26,16,16,22,27,25,23,24,27,18,19,10,9,10,13,15,14,9,12,6,12,9,9,9,11,13,7,9,7,2,3,0,2,1,5,1,5,1,2,10
Queensferry East - 01,City of Edinburgh,982,10,11,10,21,11,20,16,16,10,12,19,10,14,7,10,8,12,10,10,2,4,6,2,9,4,15,10,12,16,11,12,13,12,10,12,8,4,8,16,17,8,17,22,14,6,21,22,15,11,16,25,14,6,23,18,14,22,18,21,14,19,12,10,11,14,16,8,5,11,8,15,8,7,6,9,8,6,4,7,3,7,1,4,5,4,2,1,3,0,1,0
Queensferry East - 02,City of Edinburgh,693,7,9,2,8,8,7,7,10,10,10,14,12,10,14,6,10,12,12,3,11,5,6,4,5,9,13,13,11,7,14,4,10,7,6,6,8,13,10,2,7,10,6,9,8,18,11,11,8,6,8,11,7,10,10,12,4,14,7,8,14,9,8,9,9,6,9,9,8,13,7,13,4,5,3,4,10,6,3,3,3,5,1,1,2,2,1,2,1,0,1,2
Queensferry East - 03,City of Edinburgh,756,8,10,11,10,8,8,12,13,7,15,6,4,15,5,12,10,3,8,6,3,2,6,5,3,10,15,13,6,4,12,9,10,21,17,15,20,7,9,15,15,12,6,7,6,17,7,6,14,7,8,9,5,7,8,11,16,14,10,4,7,12,9,13,3,10,2,10,6,6,18,11,6,7,10,10,7,11,2,4,6,2,6,3,2,3,1,0,0,4,0,3
Queensferry East - 04,City of Edinburgh,756,6,10,11,9,10,10,7,9,16,12,14,5,13,6,13,6,8,8,8,2,4,5,11,5,2,9,11,12,18,5,5,8,7,19,16,6,9,12,12,15,12,11,10,14,8,7,9,11,13,10,9,14,15,11,8,6,6,9,6,10,11,3,6,10,3,15,10,3,11,10,11,12,9,8,7,4,8,4,2,4,4,4,0,5,5,2,2,3,2,1,4
Queensferry East - 05,City of Edinburgh,712,4,8,13,12,7,11,16,5,9,6,8,6,15,13,14,7,8,5,3,4,3,9,6,4,10,12,8,11,13,9,10,13,16,14,7,16,14,8,10,7,7,5,8,13,16,8,8,8,13,17,11,10,11,4,17,8,7,7,6,5,7,9,11,12,8,6,8,4,1,6,11,5,6,4,3,2,0,5,4,9,3,4,4,1,3,3,4,1,1,1,3
Queensferry East - 06,City of Edinburgh,917,9,7,8,7,13,2,6,5,14,19,7,10,4,9,9,7,4,14,2,10,7,2,10,11,8,11,3,14,14,16,9,9,5,5,9,10,11,8,5,12,14,10,1,9,16,14,16,8,14,19,15,16,14,15,21,16,15,9,10,11,19,19,13,12,13,13,11,11,11,18,22,11,13,10,9,13,8,6,9,11,10,6,4,7,6,6,1,5,3,2,7
Queensferry West - 01,City of Edinburgh,476,6,8,6,10,10,3,5,6,2,9,4,5,7,9,7,2,2,7,1,4,2,4,3,4,11,7,7,9,10,7,7,11,6,11,6,7,2,13,6,7,17,2,9,8,7,1,6,7,6,12,1,2,6,0,3,5,3,1,7,3,12,2,3,3,7,1,2,2,7,4,5,2,8,4,8,6,1,1,3,5,4,1,3,6,3,1,1,2,1,2,7
Queensferry West - 02,City of Edinburgh,977,15,14,13,15,18,15,10,7,12,7,11,7,8,9,15,6,13,9,15,8,9,14,8,10,14,5,18,25,14,13,10,5,9,15,23,11,15,18,9,10,6,11,15,17,15,6,14,15,16,12,18,15,14,19,26,14,18,17,15,18,10,20,13,14,6,12,12,12,9,7,6,7,7,6,11,8,4,9,2,1,2,2,2,2,0,1,2,2,1,0,4
Queensferry West - 03,City of Edinburgh,880,16,9,12,13,18,9,16,13,9,19,14,9,15,4,11,6,5,5,5,8,5,4,3,2,13,14,15,21,19,13,8,7,9,12,15,14,17,13,21,3,12,13,16,14,18,15,19,18,9,2,8,18,14,13,27,16,27,15,11,14,20,12,12,7,7,8,6,7,3,4,8,3,1,6,3,4,7,2,1,4,3,1,2,0,2,3,0,0,0,0,1
Queensferry West - 04,City of Edinburgh,760,2,14,11,5,9,14,12,7,1,14,10,12,11,8,7,7,5,2,11,5,8,6,3,8,5,10,9,13,10,12,7,4,6,12,6,15,16,14,13,14,11,18,12,10,12,17,8,6,12,8,9,11,15,7,5,20,10,10,16,16,11,6,12,11,8,14,9,12,11,9,4,7,7,4,2,6,3,7,5,2,1,5,1,3,1,2,1,1,1,1,2
Queensferry West - 05,City of Edinburgh,862,8,10,10,8,7,11,5,10,9,7,11,8,11,10,13,8,9,4,8,4,4,8,6,10,11,4,12,13,21,3,11,8,14,5,6,6,6,5,9,4,13,9,15,15,11,13,11,12,25,8,10,11,20,15,18,14,17,12,13,18,22,8,16,14,16,11,13,11,15,22,15,10,6,5,5,6,4,4,2,7,6,3,3,3,4,3,3,1,1,3,3
Barra and South Uist - 01,Na h-Eileanan Siar,581,6,4,2,5,9,5,11,5,13,9,11,8,2,7,8,5,8,6,4,3,2,6,6,5,2,6,4,6,10,3,6,8,0,2,3,6,3,11,9,9,4,8,8,8,10,12,14,13,10,7,10,5,11,8,9,11,12,7,3,7,8,4,5,6,14,10,12,6,12,7,9,9,7,4,3,4,5,6,1,4,5,2,2,4,2,4,0,2,5,0,4
Barra and South Uist - 02,Na h-Eileanan Siar,662,3,8,10,5,4,10,5,7,10,7,16,11,3,8,0,3,5,8,9,6,3,8,6,8,2,2,1,8,9,2,10,12,9,6,5,4,8,2,5,11,8,15,5,10,7,5,9,5,12,12,11,5,4,11,7,6,11,9,18,4,12,8,9,7,12,9,8,8,7,17,12,6,11,12,9,13,8,7,5,7,4,6,7,6,1,3,0,0,4,1,10
Barra and South Uist - 03,Na h-Eileanan Siar,465,1,7,2,1,5,2,4,6,2,5,1,4,4,4,6,1,7,2,8,2,2,5,9,0,4,5,2,2,5,2,7,4,3,2,2,2,2,4,2,3,0,2,3,3,5,7,4,3,10,13,9,12,5,9,11,7,10,4,11,11,11,4,3,5,10,9,11,12,6,18,13,3,3,7,6,2,7,4,4,5,6,4,4,4,3,3,5,2,1,5,5
Barra and South Uist - 04,Na h-Eileanan Siar,592,8,6,8,7,4,7,5,8,11,5,12,5,4,4,6,6,7,1,2,5,7,11,5,5,5,3,2,10,5,11,3,1,3,8,1,0,5,4,6,2,9,7,6,7,11,3,8,11,12,16,6,11,13,3,15,8,10,12,11,6,12,5,12,8,7,10,10,10,9,4,12,7,5,7,4,6,4,4,2,6,10,4,1,2,6,3,2,1,2,2,12
Barra and South Uist - 05,Na h-Eileanan Siar,725,9,7,7,6,5,4,5,13,4,10,9,15,5,17,11,13,12,4,5,10,7,2,7,3,2,9,5,2,12,6,6,8,0,3,8,10,10,9,14,6,9,8,5,9,13,11,10,7,3,16,8,18,17,6,14,9,7,9,14,12,17,6,15,14,11,17,11,12,12,6,14,13,3,5,5,8,7,7,6,5,1,2,6,5,2,4,0,1,0,2,3
Benbecula and North Uist - 01,Na h-Eileanan Siar,532,4,7,2,6,8,3,4,7,9,6,8,11,12,10,6,5,7,7,3,5,7,6,8,5,3,0,1,1,4,5,4,6,5,1,4,8,12,3,5,6,11,10,6,8,7,9,10,8,10,12,11,9,6,8,5,3,8,6,9,8,5,6,7,6,7,8,8,9,5,12,12,13,6,5,4,2,3,4,3,4,2,3,0,2,1,1,3,1,0,1,1
Benbecula and North Uist - 02,Na h-Eileanan Siar,790,15,14,8,9,13,11,10,13,13,6,18,12,12,14,10,5,12,4,10,9,5,9,6,9,6,9,6,14,12,16,4,5,5,15,4,7,11,9,11,11,12,13,17,12,20,11,6,17,9,11,9,8,5,4,19,14,14,11,7,6,9,18,7,10,18,9,6,6,4,4,11,10,4,6,3,3,7,4,4,7,2,2,4,0,2,1,2,3,0,0,7
Benbecula and North Uist - 03,Na h-Eileanan Siar,700,8,8,7,5,6,4,10,7,5,3,6,11,2,7,9,5,8,5,5,2,0,1,6,6,4,1,5,4,8,7,6,7,6,7,10,7,5,7,5,3,7,7,7,9,7,4,12,9,10,13,10,12,16,10,5,9,5,20,13,14,17,6,15,9,20,9,23,5,14,13,11,10,10,14,12,1,9,8,13,7,9,3,4,4,8,3,1,0,5,4,6
Benbecula and North Uist - 04,Na h-Eileanan Siar,886,7,2,5,4,5,6,7,8,8,7,5,7,9,2,7,3,6,6,7,3,9,6,3,9,4,8,9,4,9,7,7,3,8,7,6,4,6,10,15,8,5,7,9,3,8,9,16,9,10,21,17,18,18,15,10,19,16,30,24,23,16,13,17,7,7,18,13,16,13,15,13,19,12,15,16,7,7,11,12,6,11,5,9,4,13,5,5,4,1,12,21
Harris - 01,Na h-Eileanan Siar,877,5,4,6,11,4,8,8,6,14,4,4,14,7,11,7,4,6,6,12,9,2,9,6,9,11,1,8,5,7,4,11,8,4,7,0,5,2,3,6,9,7,5,5,14,11,12,15,10,18,10,23,14,12,22,14,13,10,16,12,10,12,10,17,20,18,10,17,21,10,17,18,17,18,11,11,12,8,20,7,15,7,4,6,9,5,4,5,5,3,5,15
Harris - 02,Na h-Eileanan Siar,975,7,12,9,10,9,12,10,6,7,11,9,1,10,5,8,7,8,11,15,8,6,6,7,7,12,9,5,7,9,14,10,11,6,10,5,12,9,5,3,13,10,14,10,17,18,12,15,18,17,7,20,14,14,21,7,12,16,7,14,13,9,18,13,12,17,17,12,20,18,13,10,16,10,11,16,6,13,8,19,12,15,13,4,9,3,8,5,4,2,5,20
South Lewis - 01,Na h-Eileanan Siar,891,6,4,5,8,7,5,13,17,10,11,9,13,9,11,8,6,11,12,7,7,2,9,2,11,6,7,1,6,7,11,9,2,10,9,6,5,8,1,7,9,6,6,16,10,10,15,17,6,23,18,20,19,21,9,16,22,13,10,11,8,14,15,13,8,17,19,14,20,15,11,16,13,17,14,13,12,7,8,9,7,3,9,5,5,4,0,6,2,5,3,4
South Lewis - 02,Na h-Eileanan Siar,909,11,4,12,9,12,7,7,11,11,6,12,9,5,5,4,0,8,8,8,7,8,7,14,11,5,3,5,8,6,14,9,8,9,7,9,15,9,4,13,13,11,5,14,11,15,4,10,11,14,12,19,3,16,12,21,19,11,17,17,11,17,13,21,15,10,17,7,14,19,11,19,10,12,14,11,10,12,16,16,8,5,11,8,4,5,5,0,2,4,1,6
South Lewis - 03,Na h-Eileanan Siar,706,3,6,1,4,9,2,3,2,4,4,3,4,3,4,12,5,2,12,9,3,7,6,3,8,2,8,3,3,2,2,2,0,3,1,3,4,2,4,5,1,6,11,6,8,4,13,4,9,14,12,13,22,13,15,14,22,18,10,15,18,14,10,13,20,11,10,17,19,18,19,20,7,5,9,13,6,12,4,2,11,7,10,6,11,1,5,2,3,3,4,3
Northwest Lewis - 01,Na h-Eileanan Siar,459,6,2,1,4,5,3,1,7,4,5,4,4,4,3,5,7,4,6,1,1,3,6,9,0,1,2,0,3,0,4,3,5,1,7,1,3,5,6,6,2,4,4,3,1,4,5,4,2,6,9,8,9,8,11,9,11,5,7,12,4,11,10,14,13,7,6,6,7,5,6,8,10,6,12,4,10,3,6,4,6,3,6,3,2,2,3,3,2,3,1,7
Northwest Lewis - 02,Na h-Eileanan Siar,599,3,3,4,3,2,2,6,0,6,8,4,5,6,7,0,6,0,5,5,8,6,2,5,7,5,3,9,6,8,9,6,4,3,1,4,10,5,1,4,5,3,8,9,5,3,8,9,12,13,8,6,12,16,16,14,7,12,16,10,11,5,11,20,7,8,10,8,12,9,13,9,7,3,0,8,5,7,11,9,5,6,4,5,4,2,4,6,1,2,3,11
Northwest Lewis - 03,Na h-Eileanan Siar,697,10,6,6,5,9,9,2,5,6,8,8,2,6,11,5,10,7,9,2,1,9,9,6,6,6,10,7,3,6,6,8,10,4,7,9,4,2,7,6,6,6,10,6,8,11,8,12,13,9,9,12,9,9,15,6,17,10,16,14,12,12,14,17,7,13,10,5,16,11,15,14,4,2,5,12,11,6,6,3,6,7,1,6,6,5,2,3,2,2,2,2
Northwest Lewis - 04,Na h-Eileanan Siar,725,6,5,7,10,2,8,4,9,7,7,5,11,6,5,10,5,10,7,6,1,1,2,9,3,7,2,9,2,3,14,8,9,6,13,4,14,8,11,11,10,6,15,9,11,9,12,10,9,11,11,5,10,8,6,9,18,9,7,10,16,14,15,8,10,6,9,14,14,16,12,15,8,4,3,11,4,9,4,6,5,9,1,6,6,9,4,8,5,7,1,4
Northwest Lewis - 05,Na h-Eileanan Siar,574,3,3,6,3,3,5,4,3,0,5,8,4,3,2,5,6,1,10,6,7,10,4,3,6,8,5,1,2,7,6,7,7,3,6,7,6,7,4,4,9,7,4,2,7,7,5,6,2,13,9,12,2,6,5,9,9,5,9,9,11,10,10,11,8,7,6,10,11,9,8,8,11,10,15,14,9,8,10,12,9,8,2,2,6,8,5,3,3,1,2,0
Northwest Lewis - 06,Na h-Eileanan Siar,719,8,5,2,8,4,6,5,9,2,10,8,5,6,12,8,3,9,10,11,7,7,14,5,4,2,4,6,3,5,4,1,1,4,3,11,6,8,0,5,1,6,14,9,14,11,11,12,14,10,7,23,14,10,4,6,19,6,10,9,13,10,10,6,10,13,9,10,17,12,10,22,9,10,7,9,11,9,13,8,6,12,8,6,5,5,1,5,6,1,4,1
Broadbay - 01,Na h-Eileanan Siar,727,3,4,5,3,4,6,5,8,11,9,4,15,14,13,9,16,6,7,16,8,5,7,8,11,3,9,4,0,3,0,8,1,6,0,10,6,3,5,6,7,10,12,10,12,7,8,5,10,13,12,13,9,11,15,13,16,4,9,15,13,6,4,13,10,12,15,9,13,9,11,15,9,10,4,13,5,8,8,10,9,9,5,8,5,2,2,3,1,6,2,6
