objectid,name,area,centroid_x, centroid_y
103,Chelmsford,342249775.28083867,571424.159426242,205901.72761878461
104,Colchester,314918028.1240511,596386.8273998437,224069.35403336183
105,Epping Forest,338984128.71167827,548554.999786666,203311.6267368579
119,Eastleigh,79764223.94474111,447424.8076764382,115578.69312595332
106,Harlow,30537915.551492058,545591.7113750573,209844.19025749885
107,Maldon,354904142.48310184,591413.0559783042,204930.8193774848
108,Rochford,135233038.33237702,587857.3129572945,192115.24487490684
109,Tendring,332709589.3787862,614090.3920268099,223638.6084280207
110,Uttlesford,641182808.479709,556829.3509808555,228687.32836996036
111,Cheltenham,46596068.32529447,395003.3099081501,222052.83370397578
112,Cotswold,1164524416.7612667,407475.8805538871,213096.8151500211
113,Forest of Dean,526293440.1407907,366486.96366974764,215451.79304617358
120,Fareham,74239163.22472686,454835.30994044547,106243.47402981573
114,Gloucester,40553087.558878094,383564.93042126077,216776.51932838408
115,Stroud,460650080.78172153,379700.24360581936,203350.20636261086
116,Tewkesbury,414414325.2712067,394105.34306664026,227474.80972276806
117,Basingstoke and Deane,633817171.8113303,455837.01749986724,153004.19469190566
118,East Hampshire,514432073.60423034,473298.70304568857,131099.89847286072
133,Watford,21430351.476908803,510516.21858514665,197796.23943437418
134,Ashford,580617298.2688829,596821.4409854071,139981.70983354596
135,Canterbury,308819841.83701843,616624.6357260714,158103.70108849675
136,Dartford,72764007.85246289,556670.991773924,172498.90784316728
137,Dover,311821478.2450333,629695.0887144477,150850.07363152129
138,Gravesham,99020166.41680272,566692.2773838888,169756.35361033195
139,Maidstone,393332659.93373954,580249.0688252567,151587.10220451944
140,Sevenoaks,370346869.34596777,551595.5146291069,155158.33686342175
141,Shepway,356764729.2158033,609919.8593335305,132741.78929615152
142,Swale,280909936.69574004,596057.6521277229,161073.67386965654
143,Thanet,103336697.91945925,632491.0513775906,166985.67127601404
144,Tonbridge and Malling,215042906.9997418,563532.8398311167,154550.3243084769
145,Tunbridge Wells,331328863.81248826,570240.896686197,137821.41518094603
146,Burnley,110683999.2192024,385471.74934753904,431423.39545990457
147,Chorley,201614039.03829274,357354.7404027048,418528.4993746635
148,Fylde,165770477.34510943,339897.9693755616,432778.0421913133
149,Hyndburn,72997476.89141765,374398.89570246055,429213.28910733905
150,Lancaster,575748776.2848703,354814.5665386535,464098.37979739305
151,Pendle,169380093.61335078,387936.0907697726,441046.95299003593
152,Preston,142156929.18791056,354177.5150336723,435317.2976498654
153,Ribble Valley,584471489.3886939,370878.4873060309,445765.1864349291
154,Rossendale,138040909.3508985,382447.33824237384,421963.3926175365
155,South Ribble,112955570.63796319,353335.1732223796,425965.7686980443
156,West Lancashire,346781604.31286347,342520.1269026971,411761.23096735455
157,Wyre,247900422.98164374,347074.0272915643,445139.66683703166
158,Blaby,130468678.1264069,452828.07844760007,297360.27713407576
159,Charnwood,279042268.6103641,457748.9918551831,315827.7264150324
160,Harborough,592692047.9717265,467369.7107068482,293956.5399810277
161,Hinckley and Bosworth,297349279.700689,441325.8961390937,302252.97977051494
162,Melton,481380516.04139125,477218.28802899225,322703.8270017396
163,North West Leicestershire,279328073.8114642,440247.9205585066,317443.9865832486
164,Oadby and Wigston,23526097.129810184,461518.764036193,299200.4305025619
165,Boston,364170029.6260398,531864.8308552917,343593.1870401854
166,East Lindsey,1764991969.380738,535042.0414498601,374578.74431743316
167,Lincoln,35690275.41180759,496570.6560649702,370716.4570730811
168,North Kesteven,922471384.6658639,504195.8072268464,354890.35465036123
169,South Holland,722556911.219905,530958.3781032494,323006.15005600464
170,South Kesteven,942585798.9139882,499899.8005827747,329561.5616217811
171,West Lindsey,1155719718.9823205,501401.3942599849,389518.33528307884
172,Breckland,1305116643.235978,592300.7430969942,302683.4609683474
173,Broadland,552308302.0059724,623753.4908859135,316655.12795444677
174,Great Yarmouth,119714991.70626007,646837.4767977217,314571.36685831397
175,King's Lynn and West Norfolk,1098623492.386586,571242.0811434306,317787.8823113056
176,North Norfolk,958046553.4126166,613966.5092373578,332447.18778234156
177,Norwich,39015943.915201075,621849.2396732745,308964.4296665492
178,South Norfolk,899161165.6896429,622137.6925988621,295723.06400157267
179,Corby,80280901.17328444,488624.5858623889,289817.7885777677
180,Daventry,665600467.5120413,464975.46094787185,269079.5864781796
181,East Northamptonshire,509787257.0662282,500424.36853694345,285424.3985589961
182,Kettering,233489925.83006558,484044.64501889836,281623.1622421422
183,Northampton,80771938.69203883,476100.7445940222,260923.8127250253
184,South Northamptonshire,634023186.1381601,465624.5348163928,247580.4552514699
185,Wellingborough,163036492.48717272,487928.2761395606,266296.9339246774
186,Craven,1178807437.8999033,388697.1334236183,464892.5043659451
187,Hambleton,1311228139.9785054,444424.89949577104,488118.99638609187
188,Harrogate,1309127597.9321759,426567.96236455825,463538.13769996865
189,Richmondshire,1318707280.3558757,404365.34700359125,496226.21226652554
190,Ryedale,1506593776.6929345,474968.6218011093,480025.28871459374
191,Scarborough,816481368.030142,488681.7476590837,497622.5137975604
192,Selby,471160354.71007395,454855.2388913262,431396.12483788346
193,Ashfield,109557941.44611369,449710.93874657515,355261.7539065282
194,Bassetlaw,637794229.2189415,469395.23946933117,382267.6684751192
